10:22,12:33,13:34,19:27
09:35,12:29,13:31,18:58
10:27,12:36,13:41,19:31
09:26,12:36,13:36,18:29
10:28,12:22,13:22,19:47
10:34,12:25,13:30,19:40
09:27,12:26,13:30,18:32
09:39,12:22,13:23,18:45
10:33,12:22,13:24,19:36
10:28,12:38,13:42,19:48
10:24,12:33,13:34,19:38
10:30,12:35,13:35,19:45
10:31,12:40,13:42,19:50
10:32,12:31,13:34,19:44
10:23,12:20,13:21,19:32
10:22,12:33,13:34,19:33
10:35,12:40,13:42,19:52
10:35,12:27,13:31,19:46
10:23,12:25,13:28,19:38
10:33,12:36,13:39,19:49
10:34,12:29,13:34,19:40
09:28,12:32,13:37,18:40
09:31,12:31,13:31,18:36
